product_id,name_en,name_ar,brand,category,category_name_ar,category_link,series,price_sar,old_price_sar,availability,screen_size_in,display_type,ram_gb,storage_gb,short_desc,keywords,product_url,connectivity,item_type,resolution_px,ppi,cpu,os,bluetooth,wifi,Battery_mah,audio_jack,Micro_sd_slot
c0caa2bfe72b,Boox Go 10.3 Cover,بووكس حافظة الحماية المغناطيسية لسلسلة جو 10.3,boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,Go,199,,unknown,,,,,بووكس حافظة الحماية المغناطيسية لسلسلة جو 10.3,"boox,Go,10.3in,case",https://shop.smart.sa/ar/dPgNyRz,,case,,,,,,,,,
1243289d7aa7,BOOX Palma Cover Black TPU,بووكس حافظة الحماية لسلسلة بالما,boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,Palma,89,,unknown,,,,,بووكس حافظة الحماية لسلسلة بالما,"boox,Palma,case",https://shop.smart.sa/ar/onAdGnz,,case,,,,,,,,,
3228b079cd06,BOOX Palma Cover Beige PU,بووكس حافظة الحماية القابلة للطي لسلسلة بالما,boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,Palma,89,,unknown,,,,,بووكس حافظة الحماية القابلة للطي لسلسلة بالما,"boox,Palma,case",https://shop.smart.sa/ar/rAVabvl,,case,,,,,,,,,
fd9aba38d562,BOOX Stylus Tips for Pen Plus Pen2 Pro,بووكس رؤوس القلم متوافق مع قلم التراينقل و قلم 2 برو و قلم اكسترا,boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,,79.01,,unknown,,,,,بووكس رؤوس القلم متوافق مع قلم التراينقل و قلم 2 برو و قلم اكسترا,"boox,stylus",https://shop.smart.sa/ar/XeDNOYV,,stylus,,,,,,,,,
2f645a12204e,BOOX Pen2 Pro Magnetic Stylus with an Eraser,بووكس قلم 2 برو المغناطيسي مع ممحاة,boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,,269,,unknown,,,,,بووكس قلم 2 برو المغناطيسي مع ممحاة,"boox,stylus",https://shop.smart.sa/ar/zvGlPKG,,stylus,,,,,,,,,
62fd7e97a6be,BOOX Tab Ultra Pro Cover,بووكس حافظة الحماية الذكية القابلة للطي المغناطيسية لجهاز تاب الترا سي برو,boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,Tab,97.75,,unknown,,,,,بووكس حافظة الحماية الذكية القابلة للطي المغناطيسية لجهاز تاب الترا سي برو,"boox,Tab,case",https://shop.smart.sa/ar/qQylPgV,,case,,,,,,,,,
716dc931b655,Boox Tab Mini Cover,بووكس حافظة الحماية المغناطيسية لسلسلة تاب ميني,boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,Tab,99,,unknown,,,,,بووكس حافظة الحماية المغناطيسية لسلسلة تاب ميني,"boox,Tab,case",https://shop.smart.sa/ar/rAdlvBj,,case,,,,,,,,,
2a6fb86da2c2,BOOX Note Air4 C,بووكس نوت اير4 سي 6GB 64GB جهاز لوحي بشاشة حبر إلكتروني ملون,boox,tablets_readers,الأجهزة اللوحية وأجهزة القراءة,https://shop.smart.sa/ar/category/EdyrGY,Note Air,2299,,unknown,10.3,eink_color,6,64,بووكس نوت اير4 سي 6GB 64GB جهاز لوحي بشاشة حبر إلكتروني ملون,"boox,Note Air,eink_color,ram6,storage64",https://shop.smart.sa/ar/EZVjrpA,واي فاي (2.4 جيجا هرتز + 5 جيجا هرتز),e-ink tablet,2480x1860,301,كوالكوم ثماني النواة + BSR GPU,أندرويد 13,5.1,Wi-Fi,3700,Via USB-C,
42209143607b,Boox Palma 2 Magnetic 2-in-1 Protective Case,بووكس حافظة الحماية المغناطيسية القابلة للطي لسلسلة بالما 2 (اللون الرملي),boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,Palma,89,,unknown,,,,,بووكس حافظة الحماية المغناطيسية القابلة للطي لسلسلة بالما 2 (اللون الرملي),"boox,Palma,case",https://shop.smart.sa/ar/azeGaAD,,case,,,,,,,,,
211bee436974,BOOX Mira Pro (Color Version),بووكس ميرا برو شاشة حبر إلكتروني ملون 25.3 بوصة,boox,interactive_screens,الأجهزة اللوحية وأجهزة القراءة,https://shop.smart.sa/ar/category/EdyrGY,Mira,7199,,unknown,25.3,eink_color,,,بووكس ميرا برو شاشة حبر إلكتروني ملون 25.3 بوصة,"boox,Mira,eink_color,25.3in",https://shop.smart.sa/ar/jgaaKwR,,e-ink monitor,3200x1800,145,,,,,,,
